chr1	1
chr2	2
chr3	3
chr4	4
chr5	5
chr6	6
chr7	7
chr8	8
chr9	9
chr10	10
chr11	11
chr12	12
chr13	13
chr14	14
chr15	15
chr16	16
chr17	17
chr18	18
chr19	19
chr20	20
chr21	21
chr22	22
chrX	X
chrY	Y
chrM	MT
chr1_gl000191_random	GL000191.1
chr1_gl000192_random	GL000192.1
chr4_gl000193_random	GL000193.1
chr4_gl000194_random	GL000194.1
chr7_gl000195_random	GL000195.1
chr8_gl000196_random	GL000196.1
chr8_gl000197_random	GL000197.1
chr9_gl000198_random	GL000198.1
chr9_gl000199_random	GL000199.1
chr9_gl000200_random	GL000200.1
chr9_gl000201_random	GL000201.1
chr11_gl000202_random	GL000202.1
chr17_gl000203_random	GL000203.1
chr17_gl000204_random	GL000204.1
chr17_gl000205_random	GL000205.1
chr17_gl000206_random	GL000206.1
chr18_gl000207_random	GL000207.1
chr19_gl000208_random	GL000208.1
chr19_gl000209_random	GL000209.1
chr21_gl000210_random	GL000210.1
chrUn_gl000211	GL000211.1
chrUn_gl000212	GL000212.1
chrUn_gl000213	GL000213.1
chrUn_gl000214	GL000214.1
chrUn_gl000215	GL000215.1
chrUn_gl000216	GL000216.1
chrUn_gl000217	GL000217.1
chrUn_gl000218	GL000218.1
chrUn_gl000219	GL000219.1
chrUn_gl000220	GL000220.1
chrUn_gl000221	GL000221.1
chrUn_gl000222	GL000222.1
chrUn_gl000223	GL000223.1
chrUn_gl000224	GL000224.1
chrUn_gl000225	GL000225.1
chrUn_gl000226	GL000226.1
chrUn_gl000227	GL000227.1
chrUn_gl000228	GL000228.1
chrUn_gl000229	GL000229.1
chrUn_gl000230	GL000230.1
chrUn_gl000231	GL000231.1
chrUn_gl000232	GL000232.1
chrUn_gl000233	GL000233.1
chrUn_gl000234	GL000234.1
chrUn_gl000235	GL000235.1
chrUn_gl000236	GL000236.1
chrUn_gl000237	GL000237.1
chrUn_gl000238	GL000238.1
chrUn_gl000239	GL000239.1
chrUn_gl000240	GL000240.1
chrUn_gl000241	GL000241.1
chrUn_gl000242	GL000242.1
chrUn_gl000243	GL000243.1
chrUn_gl000244	GL000244.1
chrUn_gl000245	GL000245.1
chrUn_gl000246	GL000246.1
chrUn_gl000247	GL000247.1
chrUn_gl000248	GL000248.1
chrUn_gl000249	GL000249.1
chr4_ctg9_hap1	HSCHR4_1
chr6_apd_hap1	HSCHR6_MHC_APD
chr6_cox_hap2	HSCHR6_MHC_COX
chr6_dbb_hap3	HSCHR6_MHC_DBB
chr6_mann_hap4	HSCHR6_MHC_MANN
chr6_mcf_hap5	HSCHR6_MHC_MCF
chr6_qbl_hap6	HSCHR6_MHC_QBL
chr6_ssto_hap7	HSCHR6_MHC_SSTO
chr17_ctg5_hap1	HSCHR17_1
chr11_KI270721v1_random	KI270721.1
chr14_GL000009v2_random	GL000009.2
chr14_GL000194v1_random	GL000194.1
chr14_GL000225v1_random	GL000225.1
chr14_KI270722v1_random	KI270722.1
chr14_KI270723v1_random	KI270723.1
chr14_KI270724v1_random	KI270724.1
chr14_KI270725v1_random	KI270725.1
chr14_KI270726v1_random	KI270726.1
chr15_KI270727v1_random	KI270727.1
chr16_KI270728v1_random	KI270728.1
chr17_GL000205v2_random	GL000205.2
chr17_KI270729v1_random	KI270729.1
chr17_KI270730v1_random	KI270730.1
chr1_KI270706v1_random	KI270706.1
chr1_KI270707v1_random	KI270707.1
chr1_KI270708v1_random	KI270708.1
chr1_KI270709v1_random	KI270709.1
chr1_KI270710v1_random	KI270710.1
chr1_KI270711v1_random	KI270711.1
chr1_KI270712v1_random	KI270712.1
chr1_KI270713v1_random	KI270713.1
chr1_KI270714v1_random	KI270714.1
chr22_KI270731v1_random	KI270731.1
chr22_KI270732v1_random	KI270732.1
chr22_KI270733v1_random	KI270733.1
chr22_KI270734v1_random	KI270734.1
chr22_KI270735v1_random	KI270735.1
chr22_KI270736v1_random	KI270736.1
chr22_KI270737v1_random	KI270737.1
chr22_KI270738v1_random	KI270738.1
chr22_KI270739v1_random	KI270739.1
chr2_KI270715v1_random	KI270715.1
chr2_KI270716v1_random	KI270716.1
chr3_GL000221v1_random	GL000221.1
chr4_GL000008v2_random	GL000008.2
chr5_GL000208v1_random	GL000208.1
chr9_KI270717v1_random	KI270717.1
chr9_KI270718v1_random	KI270718.1
chr9_KI270719v1_random	KI270719.1
chr9_KI270720v1_random	KI270720.1
chrUn_GL000195v1	GL000195.1
chrUn_GL000213v1	GL000213.1
chrUn_GL000214v1	GL000214.1
chrUn_GL000216v2	GL000216.2
chrUn_GL000218v1	GL000218.1
chrUn_GL000219v1	GL000219.1
chrUn_GL000220v1	GL000220.1
chrUn_GL000224v1	GL000224.1
chrUn_GL000226v1	GL000226.1
chrUn_KI270302v1	KI270302.1
chrUn_KI270303v1	KI270303.1
chrUn_KI270304v1	KI270304.1
chrUn_KI270305v1	KI270305.1
chrUn_KI270310v1	KI270310.1
chrUn_KI270311v1	KI270311.1
chrUn_KI270312v1	KI270312.1
chrUn_KI270315v1	KI270315.1
chrUn_KI270316v1	KI270316.1
chrUn_KI270317v1	KI270317.1
chrUn_KI270320v1	KI270320.1
chrUn_KI270322v1	KI270322.1
chrUn_KI270329v1	KI270329.1
chrUn_KI270330v1	KI270330.1
chrUn_KI270333v1	KI270333.1
chrUn_KI270334v1	KI270334.1
chrUn_KI270335v1	KI270335.1
chrUn_KI270336v1	KI270336.1
chrUn_KI270337v1	KI270337.1
chrUn_KI270338v1	KI270338.1
chrUn_KI270340v1	KI270340.1
chrUn_KI270362v1	KI270362.1
chrUn_KI270363v1	KI270363.1
chrUn_KI270364v1	KI270364.1
chrUn_KI270366v1	KI270366.1
chrUn_KI270371v1	KI270371.1
chrUn_KI270372v1	KI270372.1
chrUn_KI270373v1	KI270373.1
chrUn_KI270374v1	KI270374.1
chrUn_KI270375v1	KI270375.1
chrUn_KI270376v1	KI270376.1
chrUn_KI270378v1	KI270378.1
chrUn_KI270379v1	KI270379.1
chrUn_KI270381v1	KI270381.1
chrUn_KI270382v1	KI270382.1
chrUn_KI270383v1	KI270383.1
chrUn_KI270384v1	KI270384.1
chrUn_KI270385v1	KI270385.1
chrUn_KI270386v1	KI270386.1
chrUn_KI270387v1	KI270387.1
chrUn_KI270388v1	KI270388.1
chrUn_KI270389v1	KI270389.1
chrUn_KI270390v1	KI270390.1
chrUn_KI270391v1	KI270391.1
chrUn_KI270392v1	KI270392.1
chrUn_KI270393v1	KI270393.1
chrUn_KI270394v1	KI270394.1
chrUn_KI270395v1	KI270395.1
chrUn_KI270396v1	KI270396.1
chrUn_KI270411v1	KI270411.1
chrUn_KI270412v1	KI270412.1
chrUn_KI270414v1	KI270414.1
chrUn_KI270417v1	KI270417.1
chrUn_KI270418v1	KI270418.1
chrUn_KI270419v1	KI270419.1
chrUn_KI270420v1	KI270420.1
chrUn_KI270422v1	KI270422.1
chrUn_KI270423v1	KI270423.1
chrUn_KI270424v1	KI270424.1
chrUn_KI270425v1	KI270425.1
chrUn_KI270429v1	KI270429.1
chrUn_KI270435v1	KI270435.1
chrUn_KI270438v1	KI270438.1
chrUn_KI270442v1	KI270442.1
chrUn_KI270448v1	KI270448.1
chrUn_KI270465v1	KI270465.1
chrUn_KI270466v1	KI270466.1
chrUn_KI270467v1	KI270467.1
chrUn_KI270468v1	KI270468.1
chrUn_KI270507v1	KI270507.1
chrUn_KI270508v1	KI270508.1
chrUn_KI270509v1	KI270509.1
